weight,height,color,no_of_wheels,vehicle_type
2901,116,blue,4,car
2739,104,green,2,bike
2760,150,green,4,car
2633,167,green,4,bike
1079,146,blue,2,bike
2000,165,red,4,car
2694,172,red,4,bike
1103,102,red,4,car
2443,147,blue,2,bike
1817,191,red,2,car
2384,129,green,2,bike
2674,199,green,4,bike
1277,105,green,4,car
1784,117,blue,4,bike
1264,167,green,4,bike
1419,171,green,4,car
1534,133,green,4,bike
1767,134,green,2,car
1437,138,red,4,bike
1775,164,blue,2,bike
2523,101,green,4,bike
2527,168,blue,2,bike
1663,123,red,4,bike
2415,176,green,4,car
2330,143,blue,2,car
2930,170,green,2,bike
1273,130,blue,2,bike
1288,187,green,4,car
1466,109,green,2,bike
2344,199,green,4,car
1401,144,blue,4,car
2084,101,red,4,car
2293,118,green,2,bike
1787,200,green,4,bike
2774,133,green,4,car
2460,179,red,4,bike
1889,137,red,2,car
2885,133,green,2,car
1318,165,blue,2,car
1011,159,red,4,car
1967,126,green,4,car
2667,169,blue,2,car
1728,102,red,2,car
2662,192,green,4,bike
1858,153,green,2,car
2829,164,green,2,car
2128,147,red,2,bike
2761,125,red,2,bike
2078,194,red,4,bike
2446,153,green,2,car
1576,106,red,2,bike
2766,184,red,4,car
1344,174,red,2,bike
1128,193,blue,4,bike
2755,138,red,4,car
1786,111,green,2,bike
1040,155,green,2,car
1513,153,red,4,car
2316,103,green,2,bike
1915,158,red,4,bike
2580,184,green,4,car
2726,187,blue,4,bike
2402,121,green,2,bike
2523,113,red,4,car
2776,153,blue,4,bike
2547,179,blue,2,bike
1823,151,green,2,car
1761,187,red,4,bike
2128,122,green,2,car
2774,169,green,4,bike
1510,141,blue,4,bike
2051,165,red,2,bike
1876,121,blue,4,bike
1346,156,green,2,bike
1175,109,green,2,bike
2827,163,green,2,car
2433,156,red,4,bike
1623,138,red,4,bike
1592,198,blue,4,bike
2639,131,blue,4,car
2225,188,red,2,car
2768,164,green,2,bike
2769,122,green,4,bike
1928,195,green,2,car
1266,165,green,2,car
1543,143,red,2,car
2925,161,green,2,bike
2918,100,blue,2,car
1011,138,red,2,bike
1960,192,blue,4,bike
1544,188,blue,2,bike
1448,148,green,4,car
1721,192,red,2,car
1459,172,green,2,car
2696,142,blue,4,bike
2232,173,green,2,car
1399,106,red,2,car
1487,150,red,4,car
2303,192,red,2,bike
1836,173,red,4,car
1306,114,blue,2,bike
2427,162,green,4,bike
2254,181,green,4,car
2422,169,blue,2,car
1789,195,red,4,bike
1398,128,red,2,car
2424,164,blue,2,bike
2353,104,green,2,car
1314,166,green,4,car
2679,148,green,4,car
2238,146,green,2,car
2032,154,red,4,car
1315,141,red,4,bike
1178,174,blue,2,bike
2704,154,green,4,bike
2332,193,blue,4,car
